동별,연령별,항목,2022 년
창신1동,65~69세,한국인,422
창신1동,65~69세,외국인,9
창신1동,70~74세,계,274
창신1동,70~74세,한국인,272
창신1동,70~74세,외국인,2
창신1동,75~79세,계,207
창신1동,75~79세,한국인,207
창신1동,75~79세,외국인,0
창신1동,80~84세,계,182
창신1동,80~84세,한국인,182
창신1동,80~84세,외국인,0
창신1동,85~89세,계,68
창신1동,85~89세,한국인,68
창신1동,85~89세,외국인,0
창신1동,90~94세,계,23
창신1동,90~94세,한국인,22
창신1동,90~94세,외국인,1
창신1동,95~99세,계,3
창신1동,95~99세,한국인,3
창신1동,95~99세,외국인,0
창신1동,100세 이상,계,0
창신1동,100세 이상,한국인,0
창신1동,100세 이상,외국인,0
창신2동,계,계,8796
창신2동,계,한국인,7706
창신2동,계,외국인,1090
창신2동,0~4세,계,103
창신2동,0~4세,한국인,83
창신2동,0~4세,외국인,20
창신2동,5~9세,계,108
창신2동,5~9세,한국인,99
창신2동,5~9세,외국인,9
창신2동,10~14세,계,168
창신2동,10~14세,한국인,161
창신2동,10~14세,외국인,7
창신2동,15~19세,계,232
창신2동,15~19세,한국인,209
창신2동,15~19세,외국인,23
창신2동,20~24세,계,785
창신2동,20~24세,한국인,455
창신2동,20~24세,외국인,330
창신2동,25~29세,계,826
창신2동,25~29세,한국인,593
창신2동,25~29세,외국인,233
창신2동,30~34세,계,623
창신2동,30~34세,한국인,535
창신2동,30~34세,외국인,88
창신2동,35~39세,계,421
창신2동,35~39세,한국인,364
창신2동,35~39세,외국인,57
창신2동,40~44세,계,448
창신2동,40~44세,한국인,392
창신2동,40~44세,외국인,56
창신2동,45~49세,계,525
창신2동,45~49세,한국인,487
창신2동,45~49세,외국인,38
창신2동,50~54세,계,901
창신2동,50~54세,한국인,836
창신2동,50~54세,외국인,65
창신2동,55~59세,계,965
창신2동,55~59세,한국인,887
창신2동,55~59세,외국인,78
창신2동,60~64세,계,843
창신2동,60~64세,한국인,796
창신2동,60~64세,외국인,47
창신2동,65~69세,계,650
창신2동,65~69세,한국인,629
